STATION,STATION_NAME,DATE,TPCP
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20050301,0.60
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20050401,1.09
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20050501,4.35
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20050601,5.00
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20050701,1.77
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20050801,1.06
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20050901,2.86
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20051001,3.59
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20051101,4.14
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20060101,0.78
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20060201,1.00
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20060301,1.45
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20060401,0.90
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20060501,3.79
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20060601,4.08
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20060701,3.44
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20060801,1.36
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20060901,3.57
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20061001,1.52
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20061101,1.87
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20061201,1.89
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20070101,0.98
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20070201,0.84
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20070301,1.33
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20070401,3.02
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20070501,2.52
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20070601,2.76
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20070701,0.97
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20070801,2.20
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20070901,7.28
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20071001,9.56
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20071101,0.81
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20071201,2.70
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20080101,0.33
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20080201,0.19
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20080401,4.11
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20080501,1.34
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20080601,7.00
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20080701,2.40
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20080801,2.27
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20080901,4.10
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20081001,2.70
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20081101,1.11
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20081201,2.41
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20090101,1.35
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20090201,1.50
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20090301,3.55
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20090401,4.45
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20090501,2.35
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20090601,2.05
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20090701,2.83
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20090801,2.92
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20090901,0.84
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20091001,4.45
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20091101,1.66
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20091201,2.95
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20100101,1.31
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20100201,0.72
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20100301,0.95
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20100401,0.35
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20100501,2.22
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20100601,5.30
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20100701,2.45
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20100801,4.12
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20100901,3.54
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20101001,3.96
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20101101,1.61
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20101201,1.80
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20110101,1.63
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20110201,0.19
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20110301,0.87
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20110401,2.68
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20110501,4.20
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20110601,5.26
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20110701,0.64
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20110801,1.93
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20110901,1.36
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20111001,1.15
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20111101,1.04
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20111201,0.42
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20120101,0.63
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20120201,1.43
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20120301,2.52
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20120401,2.45
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20120501,6.24
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20120601,7.85
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20120701,3.47
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20120801,1.78
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20120901,0.57
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20121001,1.06
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20121101,1.11
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20121201,0.84
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20130101,0.29
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20130201,1.06
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20130301,1.21
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20130401,3.08
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20130501,4.13
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20130601,4.93
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20130701,2.27
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20130801,3.62
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20130901,1.74
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20131001,3.71
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20131101,0.92
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20131201,2.32
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20140101,0.65
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20140201,1.89
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20140301,0.25
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20140401,1.79
GHCND:USC00210564,BEAVER BAY 5 SW MN US,20140501,2.04
GHCND:USW00054813,MUNSING LAKESHORE US,20041201,2.86
GHCND:USW00054813,MUNSING LAKESHORE US,20050101,1.17
GHCND:USW00054813,MUNSING LAKESHORE US,20050201,0.80
GHCND:USW00054813,MUNSING LAKESHORE US,20050301,0.43
GHCND:USW00054813,MUNSING LAKESHORE US,20050401,1.30
GHCND:USW00054813,MUNSING LAKESHORE US,20050501,1.92
GHCND:USW00054813,MUNSING LAKESHORE US,20050601,1.47
GHCND:USW00054813,MUNSING LAKESHORE US,20050701,2.85
